Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
18,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.1212716192127957,0.030005366521638703,0.017342218213187117,0.1212716192127957,17.841666221618652
19,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.12127161921279568,0.030005366521638703,0.017342218213187113,0.12127161921279568,20.666891847337997
20,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.12127161921279568,0.030005366521638703,0.017342218213187117,0.12127161921279568,23.37581021445138
21,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.12127161921279568,0.030005366521638703,0.017342218213187117,0.12127161921279568,25.19703435897827
22,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.13406119450237095,0.04447558890075635,0.03423582228393338,0.13406119450237095,26.23127794265747
23,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.17228040110393053,0.07347351514850782,0.057557627392654125,0.17228040110393053,26.734482288360596
24,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.1861846950082244,0.08920396131484913,0.0762650173606925,0.1861846950082244,29.460229192461288
25,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.18618469500822443,0.08746978779970518,0.07441181634203217,0.18618469500822443,34.0346245765686
26,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.18618469500822443,0.08899364018761287,0.07694312021262176,0.18618469500822443,40.584176199776785
27,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.18618469500822443,0.08851187483189793,0.07568113708161515,0.18618469500822443,47.91072831835066
28,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.177256123579653,0.08068890842174666,0.06723687580121943,0.177256123579653,57.8992599759783
29,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.17988862621215565,0.08400030796417506,0.08309718215044862,0.17988862621215565,74.78151185171944
1,7,10,512,100,5,32,0.01,0.1,5,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.9,0.99,15,0.0,0.06207170214523156,0.011370204405461987,0.0064605609286998,0.06207170214523156,7.056478636605399
2,7,10,512,100,5,32,0.01,0.1,5,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.9,0.99,15,0.0,0.06207170214523156,0.011370204405461984,0.006460560928699801,0.06207170214523156,7.055803128651211
3,7,10,512,100,5,32,0.01,0.1,5,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.9,0.99,15,0.0,0.062071702145231555,0.011370204405461987,0.006460560928699801,0.062071702145231555,7.055272340774536
4,7,10,512,100,5,32,0.01,0.1,5,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.9,0.99,15,0.0,0.06207170214523156,0.011370204405461984,0.0064605609286998,0.06207170214523156,7.054599625723703
