Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
4,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.14591011466011466,0.10536850182725775,0.11206172924922925,0.14591011466011466,6.918054262797038
5,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.3931715806715807,0.3777808973121473,0.4849068765735432,0.3931715806715807,6.6659285227457685
6,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.5796563609063609,0.5222156930963749,0.5551145842812509,0.5796563609063609,6.1781407197316485
7,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.5872577122577122,0.5087083523163068,0.5290429861201921,0.5872577122577122,5.746213436126709
8,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.6884384384384384,0.6225919653002986,0.609852141102141,0.6884384384384384,5.1125560601552325
9,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.7160967785967786,0.6924220486720487,0.7756246370829705,0.7160967785967786,4.649485190709432
10,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.772966147966148,0.7612143184112882,0.813744934057434,0.772966147966148,4.265477736790975
11,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.7950365137865137,0.7854146499979833,0.8392170173420174,0.7950365137865137,3.8899794022242227
12,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.7917605105105104,0.7721848617681951,0.8031861000611,0.7917605105105104,3.720110853513082
13,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8015458640458641,0.7920134100058341,0.8380897943397944,0.8015458640458641,3.61098051071167
